"","reporterDesc","partnerDesc","primaryValue","flowCode"
"1","Albania","Afghanistan",530,"M"
"2","Albania","Antarctica",638,"M"
"3","Albania","Algeria",75873450,"M"
"4","Albania","American Samoa",4946,"M"
"5","Albania","Angola",548257,"M"
"6","Albania","Antigua and Barbuda",11335,"M"
"7","Albania","Azerbaijan",19414111,"M"
"8","Albania","Argentina",8871261,"M"
"9","Albania","Australia",2717465,"M"
"10","Albania","Austria",81482117,"M"
"11","Albania","Bahamas",5810,"M"
"12","Albania","Bahrain",20502883,"M"
"13","Albania","Bangladesh",40160283,"M"
"14","Albania","Armenia",205655,"M"
"15","Albania","Barbados",6229,"M"
"16","Albania","Belgium",72969407,"M"
"17","Albania","Bermuda",20,"M"
"18","Albania","Bhutan",1224,"M"
"19","Albania","Bolivia (Plurinational State of)",71649,"M"
"20","Albania","Bosnia Herzegovina",27073987,"M"
"21","Albania","Botswana",15078,"M"
"22","Albania","Brazil",61510745,"M"
"23","Albania","Belize",48683,"M"
"24","Albania","Br. Indian Ocean Terr.",769,"M"
"25","Albania","Br. Virgin Isds",266,"M"
"26","Albania","Brunei Darussalam",2041,"M"
"27","Albania","Bulgaria",115419444,"M"
"28","Albania","Myanmar",1861025,"M"
"29","Albania","Burundi",40,"M"
"30","Albania","Belarus",715658,"M"
"31","Albania","Cambodia",5057130,"M"
"32","Albania","Cameroon",582888,"M"
"33","Albania","Canada",49604054,"M"
"34","Albania","Cabo Verde",546,"M"
"35","Albania","Cayman Isds",30819,"M"
"36","Albania","Central African Rep.",9818,"M"
"37","Albania","Sri Lanka",3545812,"M"
"38","Albania","Chad",74,"M"
"39","Albania","Chile",1306381,"M"
"40","Albania","China",1049415276,"M"
"41","Albania","Christmas Isds",1812,"M"
"42","Albania","Cocos Isds",4668,"M"
"43","Albania","Colombia",21238955,"M"
"44","Albania","Comoros",28895,"M"
"45","Albania","Congo",87814,"M"
"46","Albania","Cook Isds",50766,"M"
"47","Albania","Costa Rica",1343040,"M"
"48","Albania","Croatia",53339117,"M"
"49","Albania","Cuba",487655,"M"
"50","Albania","Cyprus",3128975,"M"
"51","Albania","Czechia",109922225,"M"
"52","Albania","Denmark",28096053,"M"
"53","Albania","Dominican Rep.",710289,"M"
"54","Albania","Ecuador",27930644,"M"
"55","Albania","El Salvador",9280,"M"
"56","Albania","Ethiopia",766992,"M"
"57","Albania","Eritrea",5954,"M"
"58","Albania","Estonia",2934913,"M"
"59","Albania","Faroe Isds",140182,"M"
"60","Albania","Falkland Isds (Malvinas)",1430069,"M"
"61","Albania","Fiji",4318,"M"
"62","Albania","Finland",16571095,"M"
"63","Albania","France",157669443,"M"
"64","Albania","Fr. South Antarctic Terr.",1764,"M"
"65","Albania","Gabon",259388,"M"
"66","Albania","Georgia",4064820,"M"
"67","Albania","State of Palestine",22438,"M"
"68","Albania","Germany",692454352,"M"
"69","Albania","Ghana",15634,"M"
"70","Albania","Greece",731714467,"M"
"71","Albania","Greenland",1048774,"M"
"72","Albania","Grenada",414,"M"
"73","Albania","Guatemala",243088,"M"
"74","Albania","Guinea",3317,"M"
"75","Albania","Guyana",6077,"M"
"76","Albania","Haiti",3146,"M"
"77","Albania","Holy See (Vatican City State)",306,"M"
"78","Albania","Honduras",250260,"M"
"79","Albania","China, Hong Kong SAR",3483045,"M"
"80","Albania","Hungary",72715559,"M"
"81","Albania","Iceland",1297516,"M"
"82","Albania","Indonesia",21763885,"M"
"83","Albania","Iran",3949630,"M"
"84","Albania","Iraq",221029,"M"
"85","Albania","Ireland",33154874,"M"
"86","Albania","Israel",52099585,"M"
"87","Albania","Italy",2034056272,"M"
"88","Albania","Cote d'Ivoire",360246,"M"
"89","Albania","Jamaica",25339,"M"
"90","Albania","Japan",41880420,"M"
"91","Albania","Kazakhstan",9258124,"M"
"92","Albania","Jordan",1030322,"M"
"93","Albania","Kenya",242045,"M"
"94","Albania","Dem. People's Rep. of Korea",87459,"M"
"95","Albania","Rep. of Korea",187132761,"M"
"96","Albania","Kuwait",9722833,"M"
"97","Albania","Kyrgyzstan",137986,"M"
"98","Albania","Lao People's Dem. Rep.",53233,"M"
"99","Albania","Lebanon",639745,"M"
"100","Albania","Latvia",4186777,"M"
"101","Albania","Libya",34928581,"M"
"102","Albania","Lithuania",14666693,"M"
"103","Albania","Luxembourg",2002306,"M"
"104","Albania","China, Macao SAR",27777,"M"
"105","Albania","Madagascar",150610,"M"
"106","Albania","Malawi",1026,"M"
"107","Albania","Malaysia",16732290,"M"
"108","Albania","Maldives",8698,"M"
"109","Albania","Mali",2878,"M"
