"refYear","reporterDesc","section","flowCode","totalValue"
2020,"China","Animal or vegetable fats & oils","M",33780391827
2020,"China","Animal or vegetable fats & oils","X",4317825045
2020,"China","Chemicals & allied industries","M",451489088357
2020,"China","Chemicals & allied industries","X",411982336396
2020,"China","Hides, skins, leather, furs","M",4556793999
2020,"China","Hides, skins, leather, furs","X",670844681
2020,"China","Live animals; animal products","M",153960665910
2020,"China","Live animals; animal products","X",43272170427
2020,"China","Mineral products","M",1403397627927
2020,"China","Mineral products","X",109462518282
2020,"China","Plastics & rubber","M",260820767973
2020,"China","Plastics & rubber","X",356726878593
2020,"China","Prepared foods; beverages; tobacco","M",83847151170
2020,"China","Prepared foods; beverages; tobacco","X",93298516188
2020,"China","Vegetable products","M",215318247048
2020,"China","Vegetable products","X",82690869255
2020,"China, Hong Kong SAR","Animal or vegetable fats & oils","M",592989306.016
2020,"China, Hong Kong SAR","Animal or vegetable fats & oils","X",137423815.202
2020,"China, Hong Kong SAR","Chemicals & allied industries","M",49673489152.406
2020,"China, Hong Kong SAR","Chemicals & allied industries","X",33516156516.991
2020,"China, Hong Kong SAR","Hides, skins, leather, furs","M",569650453.213
2020,"China, Hong Kong SAR","Hides, skins, leather, furs","X",551281641.175
2020,"China, Hong Kong SAR","Live animals; animal products","M",32339953996.633
2020,"China, Hong Kong SAR","Live animals; animal products","X",5891908313.152
2020,"China, Hong Kong SAR","Mineral products","M",29303511831.686
2020,"China, Hong Kong SAR","Mineral products","X",1834527067.321
2020,"China, Hong Kong SAR","Plastics & rubber","M",23227476673.098
2020,"China, Hong Kong SAR","Plastics & rubber","X",25391707898.143
2020,"China, Hong Kong SAR","Prepared foods; beverages; tobacco","M",23627818272.209
2020,"China, Hong Kong SAR","Prepared foods; beverages; tobacco","X",10140783586.37
2020,"China, Hong Kong SAR","Vegetable products","M",18716085901.851
2020,"China, Hong Kong SAR","Vegetable products","X",8997888738.425
2020,"France","Animal or vegetable fats & oils","M",7114254325.627
2020,"France","Animal or vegetable fats & oils","X",4698708494.603
2020,"France","Chemicals & allied industries","M",217801823547.136
2020,"France","Chemicals & allied industries","X",263866486727.011
2020,"France","Hides, skins, leather, furs","M",591407745.727
2020,"France","Hides, skins, leather, furs","X",697441664.456
2020,"France","Live animals; animal products","M",44026558447.675
2020,"France","Live animals; animal products","X",43750264707.537
2020,"France","Mineral products","M",127283330992.006
2020,"France","Mineral products","X",32061797125.712
2020,"France","Plastics & rubber","M",86264198147.299
2020,"France","Plastics & rubber","X",71125954185.403
2020,"France","Prepared foods; beverages; tobacco","M",83997585360.061
2020,"France","Prepared foods; beverages; tobacco","X",108438017124.547
2020,"France","Vegetable products","M",57078713402.01
2020,"France","Vegetable products","X",52031689399.99
2020,"Germany","Animal or vegetable fats & oils","M",12096592104.819
2020,"Germany","Animal or vegetable fats & oils","X",9437904800.938
2020,"Germany","Chemicals & allied industries","M",449793708213.635
2020,"Germany","Chemicals & allied industries","X",599542074774.847
2020,"Germany","Hides, skins, leather, furs","M",584077352.479
2020,"Germany","Hides, skins, leather, furs","X",848447575.632
2020,"Germany","Live animals; animal products","M",68364686105.163
2020,"Germany","Live animals; animal products","X",68108275160.195
2020,"Germany","Mineral products","M",257712643929.576
2020,"Germany","Mineral products","X",84206295526.167
2020,"Germany","Plastics & rubber","M",161920155472.166
2020,"Germany","Plastics & rubber","X",218178883642.828
2020,"Germany","Prepared foods; beverages; tobacco","M",119963872045.373
2020,"Germany","Prepared foods; beverages; tobacco","X",133315045342.977
2020,"Germany","Vegetable products","M",114321451795.154
2020,"Germany","Vegetable products","X",45091138349.236
2020,"Italy","Animal or vegetable fats & oils","M",12369470082.996
2020,"Italy","Animal or vegetable fats & oils","X",7240467664.373
2020,"Italy","Chemicals & allied industries","M",191057836977.602
2020,"Italy","Chemicals & allied industries","X",192970528732.941
2020,"Italy","Hides, skins, leather, furs","M",2669296813.963
2020,"Italy","Hides, skins, leather, furs","X",3051923705.324
2020,"Italy","Live animals; animal products","M",45393868559.78
2020,"Italy","Live animals; animal products","X",21722689200.623
2020,"Italy","Mineral products","M",114307266894.196
2020,"Italy","Mineral products","X",33750683775.816
2020,"Italy","Plastics & rubber","M",70173366634.572
2020,"Italy","Plastics & rubber","X",74644269273.429
2020,"Italy","Prepared foods; beverages; tobacco","M",44925114069.502
2020,"Italy","Prepared foods; beverages; tobacco","X",97036626870.632
2020,"Italy","Vegetable products","M",42421594943.34
2020,"Italy","Vegetable products","X",33515754156.706
2020,"Japan","Animal or vegetable fats & oils","M",4204544363.1
2020,"Japan","Animal or vegetable fats & oils","X",735491689.096
2020,"Japan","Chemicals & allied industries","M",193760749872.028
2020,"Japan","Chemicals & allied industries","X",184005306222.835
2020,"Japan","Hides, skins, leather, furs","M",191965011.843
2020,"Japan","Hides, skins, leather, furs","X",121772831.549
2020,"Japan","Live animals; animal products","M",68827927941.32
2020,"Japan","Live animals; animal products","X",5454568161.016
2020,"Japan","Mineral products","M",385596246784.401
2020,"Japan","Mineral products","X",25309362667.519
2020,"Japan","Plastics & rubber","M",56755932811.661
2020,"Japan","Plastics & rubber","X",102255894483.06
2020,"Japan","Prepared foods; beverages; tobacco","M",77897080433.424
2020,"Japan","Prepared foods; beverages; tobacco","X",14922776625.477
2020,"Japan","Vegetable products","M",58443660691.608
2020,"Japan","Vegetable products","X",2846190783.598
2020,"Mexico","Animal or vegetable fats & oils","M",3473040288
2020,"Mexico","Animal or vegetable fats & oils","X",1222704804
2020,"Mexico","Arms and ammunition","M",75904075
