Reporting Economy,Year,Product/Sector,Value
Afghanistan,2018,Manufactures,3444
Afghanistan,2018,Agricultural products,3381
Afghanistan,2018,Food,3100
Afghanistan,2018,Fuels and mining products,1202
Afghanistan,2018,Fuels,1059
Afghanistan,2018,Machinery and transport equipment,873
Afghanistan,2018,Textiles,494
Afghanistan,2018,Transport equipment,395
Afghanistan,2018,Automotive products,346
Afghanistan,2018,Chemicals,281
Afghanistan,2018,Other,294
Afghanistan,2019,Agricultural products,3188
Afghanistan,2019,Food,2854
Afghanistan,2019,Manufactures,2273
Afghanistan,2019,Fuels and mining products,2179
Afghanistan,2019,Fuels,2015
Afghanistan,2019,Machinery and transport equipment,925
Afghanistan,2019,Textiles,512
Afghanistan,2019,Chemicals,393
Afghanistan,2019,Transport equipment,332
Afghanistan,2019,Automotive products,285
Afghanistan,2019,Other,550
Afghanistan,2020,Manufactures,3494
Afghanistan,2020,Agricultural products,3223
Afghanistan,2020,Food,3001
Afghanistan,2020,Machinery and transport equipment,1026
Afghanistan,2020,Chemicals,680
Afghanistan,2020,Transport equipment,482
Afghanistan,2020,Textiles,422
Afghanistan,2020,Fuels and mining products,408
Afghanistan,2020,Fuels,366
Afghanistan,2020,Iron and steel,299
Afghanistan,2020,Other,937
Afghanistan,2021,Agricultural products,2781
Afghanistan,2021,Manufactures,2613
Afghanistan,2021,Food,2590
Afghanistan,2021,Machinery and transport equipment,769
Afghanistan,2021,Fuels and mining products,736
Afghanistan,2021,Fuels,674
Afghanistan,2021,Chemicals,563
Afghanistan,2021,Transport equipment,329
Afghanistan,2021,Textiles,271
Afghanistan,2021,Pharmaceuticals,239
Afghanistan,2021,Other,764
Afghanistan,2022,Agricultural products,3249
Afghanistan,2022,Food,3025
Afghanistan,2022,Manufactures,2121
Afghanistan,2022,Fuels and mining products,972
Afghanistan,2022,Fuels,916
Afghanistan,2022,Chemicals,710
Afghanistan,2022,Machinery and transport equipment,405
Afghanistan,2022,Pharmaceuticals,301
Afghanistan,2022,Textiles,277
Afghanistan,2022,Transport equipment,103
Afghanistan,2022,Other,337
Afghanistan,2023,Agricultural products,3038
Afghanistan,2023,Food,2828
Afghanistan,2023,Manufactures,2652
Afghanistan,2023,Fuels and mining products,946
Afghanistan,2023,Fuels,904
Afghanistan,2023,Chemicals,680
Afghanistan,2023,Machinery and transport equipment,641
Afghanistan,2023,Textiles,448
Afghanistan,2023,Pharmaceuticals,258
Afghanistan,2023,Transport equipment,250
Afghanistan,2023,Other,487
Albania,2018,Manufactures,6097
Albania,2018,Machinery and transport equipment,1462
Albania,2018,Fuels and mining products,1348
Albania,2018,Agricultural products,1340
Albania,2018,Food,1217
Albania,2018,Fuels,981
Albania,2018,Clothing,886
Albania,2018,Chemicals,726
Albania,2018,Iron and steel,487
Albania,2018,Transport equipment,461
Albania,2018,Other,1379
Albania,2019,Manufactures,5898
Albania,2019,Machinery and transport equipment,1419
Albania,2019,Agricultural products,1384
Albania,2019,Fuels and mining products,1320
Albania,2019,Food,1253
Albania,2019,Fuels,967
Albania,2019,Clothing,858
Albania,2019,Chemicals,727
Albania,2019,Transport equipment,446
Albania,2019,Iron and steel,441
Albania,2019,Other,1393
Albania,2020,Manufactures,5598
Albania,2020,Agricultural products,1433
Albania,2020,Machinery and transport equipment,1418
Albania,2020,Food,1299
Albania,2020,Fuels and mining products,1036
Albania,2020,Clothing,767
Albania,2020,Chemicals,760
Albania,2020,Fuels,676
Albania,2020,Transport equipment,441
Albania,2020,Automotive products,410
Albania,2020,Other,1370
Albania,2021,Manufactures,7492
Albania,2021,Fuels and mining products,2004
Albania,2021,Machinery and transport equipment,1894
Albania,2021,Agricultural products,1753
Albania,2021,Food,1589
Albania,2021,Fuels,1451
Albania,2021,Chemicals,1014
Albania,2021,Clothing,920
Albania,2021,Iron and steel,821
Albania,2021,Transport equipment,607
Albania,2021,Other,1795
Albania,2022,Manufactures,8031
Albania,2022,Fuels and mining products,2822
Albania,2022,Fuels,2191
Albania,2022,Machinery and transport equipment,1956
Albania,2022,Agricultural products,1844
Albania,2022,Food,1686
Albania,2022,Iron and steel,1033
Albania,2022,Chemicals,959
Albania,2022,Clothing,930
Albania,2022,Transport equipment,574
Albania,2022,Other,1721
Albania,2023,Manufactures,7621
Albania,2023,Agricultural products,1936
Albania,2023,Fuels and mining products,1884
Albania,2023,Food,1809
Albania,2023,Machinery and transport equipment,1476
Albania,2023,Clothing,1032
Albania,2023,Fuels,940
Albania,2023,Chemicals,766
Albania,2023,Transport equipment,616
Albania,2023,Automotive products,577
Albania,2023,Other,1362
Algeria,2018,Fuels and mining products,43193
Algeria,2018,Fuels,42383
Algeria,2018,Manufactures,32535
Algeria,2018,Machinery and transport equipment,15187
Algeria,2018,Agricultural products,8674
Algeria,2018,Food,7972
Algeria,2018,Chemicals,6891
Algeria,2018,Transport equipment,6015
Algeria,2018,Automotive products,4425
Algeria,2018,Iron and steel,2338
Algeria,2018,Other,6772
Algeria,2019,Fuels and mining products,36550
Algeria,2019,Fuels,35550
Algeria,2019,Manufactures,31737
Algeria,2019,Machinery and transport equipment,13619
Algeria,2019,Agricultural products,9146
Algeria,2019,Food,8532
Algeria,2019,Chemicals,7144
Algeria,2019,Transport equipment,4526
Algeria,2019,Automotive products,3751
Algeria,2019,Iron and steel,2891
Algeria,2019,Other,7402
Algeria,2020,Manufactures,24266
Algeria,2020,Fuels and mining products,21403
Algeria,2020,Fuels,20442
Algeria,2020,Agricultural products,9326
Algeria,2020,Machinery and transport equipment,9115
Algeria,2020,Food,8803
Algeria,2020,Chemicals,6662
Algeria,2020,Transport equipment,2400
Algeria,2020,Iron and steel,1826
Algeria,2020,Automotive products,1821
Algeria,2020,Other,5808
Algeria,2021,Fuels and mining products,36480
Algeria,2021,Fuels,34790
Algeria,2021,Manufactures,27063
Algeria,2021,Agricultural products,10787
Algeria,2021,Food,10191
Algeria,2021,Machinery and transport equipment,9427
Algeria,2021,Chemicals,8194
Algeria,2021,Transport equipment,2468
Algeria,2021,Iron and steel,2340
Algeria,2021,Pharmaceuticals,1907
Algeria,2021,Other,6572
Algeria,2022,Fuels and mining products,61388
Algeria,2022,Fuels,59602
Algeria,2022,Manufactures,29863
Algeria,2022,Agricultural products,13135
Algeria,2022,Food,12432
Algeria,2022,Chemicals,10572
Algeria,2022,Machinery and transport equipment,8401
Algeria,2022,Iron and steel,2992
Algeria,2022,Transport equipment,2280
Algeria,2022,Automotive products,1657
Algeria,2022,Other,5323
Algeria,2023,Fuels and mining products,55604
Algeria,2023,Fuels,53956
Algeria,2023,Manufactures,32172
Algeria,2023,Machinery and transport equipment,12052
Algeria,2023,Agricultural products,11864
Algeria,2023,Food,11151
Algeria,2023,Chemicals,8689
Algeria,2023,Transport equipment,3880
Algeria,2023,Automotive products,3295
Algeria,2023,Iron and steel,2734
Algeria,2023,Other,6276
Angola,2018,Fuels and mining products,42630
Angola,2018,Fuels,41321
Angola,2018,Manufactures,9721
Angola,2018,Machinery and transport equipment,5482
Angola,2018,Agricultural products,3725
Angola,2018,Food,3420
Angola,2018,Transport equipment,2291
Angola,2018,Chemicals,1606
Angola,2018,Automotive products,620
Angola,2018,Office and telecom equipment,421
Angola,2018,Other,1406
Angola,2019,Fuels and mining products,36697
Angola,2019,Fuels,35360
Angola,2019,Manufactures,9616
Angola,2019,Machinery and transport equipment,5483
Angola,2019,Agricultural products,3016
Angola,2019,Food,2864
Angola,2019,Transport equipment,2660
Angola,2019,Chemicals,1433
Angola,2019,Automotive products,624
Angola,2019,Office and telecom equipment,434
Angola,2019,Other,1382
Angola,2020,Fuels and mining products,21808
Angola,2020,Fuels,20614
Angola,2020,Manufactures,7286
Angola,2020,Machinery and transport equipment,4111
Angola,2020,Agricultural products,2349
Angola,2020,Food,2240
Angola,2020,Transport equipment,1954
Angola,2020,Chemicals,1164
Angola,2020,Automotive products,495
Angola,2020,Iron and steel,311
Angola,2020,Other,1074
Angola,2021,Fuels and mining products,34841
Angola,2021,Fuels,33206
Angola,2021,Manufactures,8727
Angola,2021,Machinery and transport equipment,4794
